id,full_name,phone_number,aadhaar_number,pan_card_number,date_of_birth,address,city,state,pincode
12462,Epsita Bansal,8502940628,440425149746,FGLFG2981F,1990-08-05,"501/16, Anna Street",Howrah,West Bengal,711101
12463,Malathi Parikh,6815159472,612958553001,OFEZX8835L,1991-06-22,"32/3, Azad Road",Ranchi,Jharkhand,834002
12464,Sunita Saxena,9159554717,784701978811,AAPTH2030T,2000-03-23,"569/4, Kamaraj Nagar",Kochi,Kerala,682017
12465,Anitha Chatterjee,9117961676,871571871820,DNUYM5339C,1964-04-16,"954, Bhagat Colony, Kamaraj Area",Mangaluru,Karnataka,575002
12466,Kamakshi Srivastava,8136362137,893117735556,GOZMZ6201H,1997-06-23,"174/7, Ram Road",Shillong,Meghalaya,793004
12467,Kamakshi Menon,7319072970,303389480373,KAOCS1408R,1967-08-25,"Door No. 111, EVR Vihar, Patel Avenue",Gaya,Bihar,823003
12468,Kavya Reddy,8985982732,577683268862,DOXHD0370W,1976-02-12,"694, Ram Layout, Saraswati Area",Lucknow,Uttar Pradesh,226010
12469,Fanai Ganguly,9033563483,995233699717,VJXZW4091N,1993-11-04,"H.No. 885, Laxmi Avenue",Gurugram,Haryana,122002
12470,Suresh Ansari,6375230393,310264317958,USJWD1607D,1984-02-13,"No. 827, Nehru Niwas, Rajiv Lane",Dehradun,Uttarakhand,248001
12471,Deepika Paul,6868425637,938805285096,JOIOA1629H,1974-10-27,"S.No. 459, Shyam Layout",Agartala,Tripura,799002
12472,Rekha Jain,8517091593,364937808507,PBUAQ7731E,1968-06-09,"973, Bose Road, Shivaji Area",Gurugram,Haryana,122007
12473,Meenakshi Dey,7379185846,984272179825,WXIFA7790T,1979-12-01,"Flat 12O, Nehru Complex",Faridabad,Haryana,121008
12474,Kavitha Iyengar,9520539050,658047092889,FIZLI3617Q,1996-01-11,"House No. 814, Periyar Street",Panaji,Goa,403006
12475,Karthik Gupta,9801561641,518480328214,ZXMZC5952E,1989-12-13,"# 916, Sardar Bhavan, Periyar Road",Delhi,Delhi,110052
12476,Gourab Menon,7245454191,554542272618,WDIOW2856L,1970-01-12,"Flat 15E, Mohan Vihar",Nashik,Maharashtra,422013
12477,Abhijit Pillai,9218773595,284936466960,CMZOV4124S,2000-06-17,"121, Kamaraj Marg, Vallabh Area",Amritsar,Punjab,143002
12478,Ganpat Dalal,6093916178,810649544169,EYRBY5672X,1968-10-22,"961/4, Patel Street",Rajkot,Gujarat,360006
12479,Vijayalakshmi Tripathi,7813274807,504637475343,IXKJB9322T,1982-06-22,"Flat 19K, Tilak Vihar",Jammu,Jammu and Kashmir,180006
12480,Ganpat Pandey,9451598657,517998514762,CEZKZ9440U,1977-04-08,"H.No. 242, Ram Street",Nashik,Maharashtra,422011
12481,Rohit Rao,9899189277,779060320991,ZVCOI2985E,1981-02-25,"Door No. 904, Anna Heights, Tilak Nagar",Thiruvananthapuram,Kerala,695003
12483,Rohit Shah,8445531905,799818853444,OJWAA1925S,1966-08-15,"Flat 10I, Patel Apartment",Kolkata,West Bengal,700007
12484,Saraswathi Singh,8225725913,200375299455,NLFUU2670O,1988-09-06,"627, Indira Cross, Mohan Area",Bengaluru,Karnataka,560004
12485,Rajesh Thakkar,6510901022,687930748377,ZOCGW8290H,1988-08-05,"Flat 7K, Nehru Residency",Agra,Uttar Pradesh,282006
12486,Reyansh Ganguly,7577347589,361972371833,INOMP8469Z,1960-10-10,"879/20, Sardar Path",Varanasi,Uttar Pradesh,221006
12487,Amit Verma,7921016148,317694527630,PKBYU1439Z,2000-04-26,"132/4, Azad Marg",Faridabad,Haryana,121008
12488,Gourab Shukla,8241303897,931265007540,KFDDI3815F,1997-03-08,"S.No. 684, Subhash Path",Madurai,Tamil Nadu,625001
12489,Uttam Qureshi,8973863620,461386725283,COVTA7377P,1986-03-28,"797, Vivekananda Path, Kamaraj Area",Raipur,Chhattisgarh,492001
12490,Barnali Sundaram,7331696503,405270008676,SGKZS7657F,1988-02-13,"Flat 889, Azad Road",Chandigarh,Punjab,160006
12491,Debarati Shah,7078301629,777448307558,UINIZ7150U,1976-05-06,"551/20, Mohan Street",Kanpur,Uttar Pradesh,208002
12492,Rekha Patel,6409265119,404531570339,SBKGL7487L,1986-04-11,"222, Anna Street, Tilak Area",Agra,Uttar Pradesh,282005
12493,Hardik Mehta,8320689479,284058773745,UDAWD0920M,2004-11-05,"Plot 751, Rajiv Heights, Kamaraj Layout",Jodhpur,Rajasthan,342011
12494,Pooja Parikh,9457466729,355487289246,MSJTL7289K,1962-02-16,"House No. 841, Vivekananda Avenue",Vijayawada,Andhra Pradesh,520005
12495,Gourab Paul,7118327223,375513482767,RLUQY2079P,1964-07-23,"608, JP Path, Anna Area",Amritsar,Punjab,143007
12496,Lalit Krishnan,9671340950,464187238969,UZNBY8909X,1987-09-18,"813, Ambedkar Cross, Netaji Area",Mangaluru,Karnataka,575002
12497,Vihaan Siddiqui,9486039322,549727908347,BNYHE5918I,1982-05-31,"# 751, Periyar Colony",Rajkot,Gujarat,360002
12498,Ayaan Menon,7103808691,564913364022,BEMXC0112C,1971-05-16,"Door No. 655, Laxmi Bhavan, Tagore Avenue",Agra,Uttar Pradesh,282010
12499,Anitha Agarwal,7874991760,863554201173,OPCKD5555G,1986-06-02,"121/2, Saraswati Colony",Mangaluru,Karnataka,575007
12500,Eshan Saxena,7120148735,646259740151,MDSJD1832R,1981-08-04,"45, Periyar Road, Bhagat Area",Udaipur,Rajasthan,313004
12501,Chandana Sengupta,9746847990,825145930918,YHWYN2074B,1971-12-20,"H.No. 126, Ram Towers, Periyar Layout",Kochi,Kerala,682004
12502,Gourab Venkataraman,8092431481,845162510412,DZIHH8186Q,1969-09-19,"705, Ambedkar Lane, Periyar Area",Bengaluru,Karnataka,560002
12503,Malathi Desai,9854683447,912776727106,LZILO7735M,1973-12-10,"657/7, Shyam Layout",Chennai,Tamil Nadu,600001
12504,Bikash Singh,9236587846,986913408224,COACG4770K,2000-08-08,"# 735, Nehru Heights, Netaji Cross",Vijayawada,Andhra Pradesh,520005
12505,Vivaan Mitra,9204765908,450660964678,WDNFW7828D,1999-11-10,"374/7, Tilak Layout",Shillong,Meghalaya,793003
12506,Rekha Chakraborty,8157281226,678748763294,UDTHY7675O,1998-06-09,"114, Subhash Colony, Vallabh Area",Coimbatore,Tamil Nadu,641001
12507,Dinesh Desai,7694694683,597131169135,OCLJO5409C,1964-03-22,"Flat 9G, JP Complex",Raipur,Chhattisgarh,492007
12508,Kiran Siddiqui,6839634162,962267991166,CNOOZ0420U,1987-07-12,"Flat 14F, Azad Heights",Shillong,Meghalaya,793002
12509,Payal Saha,9090108163,800524938350,QFEXW7130D,1980-08-14,"Flat 20B, Mohan Niwas",Mangaluru,Karnataka,575001
12510,Pooja Murugan,8822337039,295080710159,IPPTI4721U,1984-06-25,"676/14, Bhagat Marg",Mumbai,Maharashtra,400003
12511,Deben Banerjee,8521550277,336971984951,FHCAF4858U,1977-08-12,"Flat 3L, Gandhi Enclave",Ludhiana,Punjab,141007
12512,Rekha Dasgupta,6277025381,728976184746,CWLAA6840T,1977-02-06,"House No. 196, Nehru Road",Varanasi,Uttar Pradesh,221002
12513,Amrita Ali,9721212276,625124267390,RUFQE6347X,1998-06-23,"Flat 13C, Tilak Enclave",Warangal,Telangana,506001
12514,Rahul Chandra,8141292756,771199587901,ZFJBM6267G,1991-06-27,"Flat 16C, Indira Complex",Gurugram,Haryana,122002
12515,Manish Sengupta,7071574269,893445361051,FCCII1836L,1989-08-19,"791/6, Laxmi Nagar",Bengaluru,Karnataka,560003
12516,Ishaan Dalal,8160507415,272389542875,TDTWT8869E,1962-12-13,"13, Tagore Road, Tagore Area",Visakhapatnam,Andhra Pradesh,530006
12517,Arjun Naidu,6595960384,657055893516,MAHXX8382O,1978-12-17,"# 139, Subhash Towers, Anna Marg",Patna,Bihar,800005
12518,Vivaan Gupta,6046367145,989632067715,AUKDP9133Z,1980-01-23,"Door No. 9, Kamaraj Vihar, Nehru Path",Imphal,Manipur,795001
12519,Vijay Parikh,7857375684,896251218024,ARBXR8841L,1977-07-21,"Flat 5X, Gandhi Bhavan",Mysuru,Karnataka,570008
12520,Kamlesh Gupta,7314995177,765702316283,RQRCS8358E,1964-05-09,"Flat 71, Azad Path",Imphal,Manipur,795005
12521,Foram Bhatt,9358824416,929813940535,YMDLH1337Z,2005-06-12,"Flat 4Z, Vallabh Niwas",Imphal,Manipur,795001
12522,Meenakshi Chakraborty,9011085281,665940216143,VSUYZ9353K,1998-03-21,"506/13, Shyam Road",Madurai,Tamil Nadu,625009
12523,Pooja Shah,9815260644,203891079446,LXJPZ9346R,1967-12-24,"H.No. 791, Periyar Layout",Indore,Madhya Pradesh,452005
12524,Rajan Mondal,8832207774,412570265801,LRKNL3196M,2001-09-03,"807/18, JP Marg",Shillong,Meghalaya,793005
12525,Manish Jain,7912235630,955979063806,TLFXC8561F,1987-03-19,"229/17, Shyam Cross",Cuttack,Odisha,753006
12526,Chandana Rodrigues,7204408344,944868968392,ODSMS8785Z,1987-10-10,"180, Vallabh Colony, Bose Area",Raipur,Chhattisgarh,492006
12527,Geeta Dalal,9003690426,250572516844,URBYW8513Y,1964-10-30,"H.No. 250, Subhash Street",Howrah,West Bengal,711103
12528,Epsita Qureshi,6479081589,592092271724,GDDTJ8640M,1963-03-07,"196/12, Nehru Street",Nashik,Maharashtra,422003
12529,Minal Annamalai,6992901059,878806252918,LLGVU2401L,1967-12-19,"Flat 12S, Mohan Enclave",Warangal,Telangana,506007
12530,Aarav Natarajan,7215632373,326626907263,WCBKD3786V,1985-02-14,"Door No. 675, Rajiv Colony",Guwahati,Assam,781005
12531,Haresh Ganguly,9125165653,644092301327,YNPQA9880C,1985-11-27,"796, Anna Path, Saraswati Area",Hubli,Karnataka,580024
12532,Shanthi Bhatt,7446026093,248213347084,XHOGH1547I,2001-08-13,"H.No. 716, Subhash Apartment, Gopal Road",Vadodara,Gujarat,390003
12533,Ishaan Trivedi,9183424110,788882887248,AKRIK4852A,1979-09-01,"Flat 695, Shyam Apartment, Periyar Nagar",Kochi,Kerala,682001
12534,Padmavathi Pandey,7251450209,254243107014,SDLAY8116Y,1995-01-04,"# 897, Tilak Apartment, Netaji Nagar",Chennai,Tamil Nadu,600001
12535,Savita Sanghavi,7990394811,329764072051,ZNFWW3759N,1967-07-08,"106, Gandhi Street, Bhagat Area",Coimbatore,Tamil Nadu,641011
12536,Ayaan Krishnan,9370361622,559366293998,MWQND7875K,1975-10-11,"872, Shyam Cross, Vallabh Area",Kanpur,Uttar Pradesh,208005
12537,Ratan Singh,7724198756,425673421426,MHNLW7634A,2005-01-14,"275/2, Netaji Colony",Bhopal,Madhya Pradesh,462011
12538,Foram Bansal,8436597510,956269226842,AWEZC4364V,1974-07-09,"House No. 238, Mohan Nagar",Warangal,Telangana,506001
12539,Subramaniam Chakraborty,9394457282,818679679272,IONPJ0468L,1999-01-07,"718, Gopal Road, Bose Area",Hubli,Karnataka,580003
12540,Aditya Annamalai,6583891462,389417957581,QOFYR0366V,1998-12-30,"# 151, Periyar Path",Bengaluru,Karnataka,560068
12541,Payal D'Souza,9325145460,807649037918,PHQAA7975Z,1975-09-27,"950/19, Anna Marg",Bengaluru,Karnataka,560004
12542,Foram Natarajan,9125559221,663287811625,QPOGT5208H,1974-01-19,"Flat 13V, Anna Residency",Bhopal,Madhya Pradesh,462004
12543,Balakrishnan Parekh,8439920611,248657829578,WMIAC0036B,1986-12-03,"Flat 16L, Laxmi Enclave",Ranchi,Jharkhand,834004
12544,Hardik Rodrigues,6709161708,660945675809,TXFAB2880V,1990-03-08,"Flat 75, Rajiv Complex, Vallabh Cross",Rajkot,Gujarat,360007
12545,Vijayalakshmi Arumugam,6634989041,225119024413,ZSKDL6488A,2004-06-15,"Flat 14Z, Rajiv Residency",Agartala,Tripura,799005
12546,Tapan Pinto,6733871918,587833268763,LGKTK6455A,1987-09-05,"# 934, Subhash Bhavan, Rajiv Path",Siliguri,West Bengal,734004
12547,Reyansh Qureshi,9499058098,907919158834,JGIKR3101D,1969-04-03,"# 807, Anna Cross",Agartala,Tripura,799003
12548,Chitra Qureshi,6916091268,953953227086,VNMSS9445D,1986-12-26,"712, Laxmi Cross, Mohan Area",Gurugram,Haryana,122002
12549,Priya Subramaniam,9589737507,207828197599,DEAKX8522F,1987-06-01,"No. 734, Nehru Vihar, Bhagat Path",Kochi,Kerala,682017
12550,Nilesh Khan,8312647386,281261807900,LYNCQ0639O,1994-05-24,"Plot 788, Rajiv Avenue",Dehradun,Uttarakhand,248004
12551,Sneha Murugan,6520388292,857162130440,HOQYK4765C,1975-07-19,"Flat 11O, Mohan Bhavan",Ahmedabad,Gujarat,380015
12552,Dinesh Mehta,7054837469,264764059044,AOGTK9081B,1995-12-22,"Plot 688, Subhash Apartment, Ambedkar Avenue",Shimla,Himachal Pradesh,171005
12553,Usha Dey,8477160480,773588445481,DKRUL5110S,1975-04-10,"# 123, EVR Cross",Ludhiana,Punjab,141001
12554,Aditya Gomes,7909880325,628644494766,RXHII6930O,1991-05-12,"76/20, MG Path",New Delhi,Delhi,110003
12555,Sai Krishnan,6195228502,671527636687,AOAJO8624B,2001-07-16,"826, Sardar Avenue, Azad Area",Kolkata,West Bengal,700006
12556,Nilesh Dey,7269703675,335285907659,TXIOB3556Z,2003-02-07,"941, Nehru Colony, Shivaji Area",Mumbai,Maharashtra,400069
12557,Kavya Selvam,8892970820,880863662131,FLTPE3683S,2002-04-07,"Flat 3J, Azad Bhavan",Tiruchirappalli,Tamil Nadu,620003
12558,Ganesh Arumugam,8119947563,587933235699,WTBCM6231F,1968-08-23,"Flat 20Y, Ram Vihar",Mysuru,Karnataka,570002
12559,Reyansh Subramaniam,9487827873,786582363062,LLQNE1515K,1994-10-10,"750/12, Shivaji Avenue",Mysuru,Karnataka,570002
12560,Deepika Kapadia,9969917916,669487112567,GODME8465V,1996-10-28,"# 350, Bhagat Nagar",Hubli,Karnataka,580002
12561,Pradip Menon,9681823924,776492292067,QTGOM3670H,1998-05-13,"Door No. 346, Ambedkar Residency, Ambedkar Street",Raipur,Chhattisgarh,492007
12562,Deepika Gomes,8941302493,926128822753,ERKEW9174B,1999-11-22,"S.No. 398, Sardar Heights, Anna Path",Agra,Uttar Pradesh,282005
12563,Anitha Sanghavi,7084830132,342334537502,SCQGG2921U,1976-02-07,"495/7, Bose Colony",Surat,Gujarat,395006
12564,Jalpa Jain,8249672111,520815426950,ABQLH4927N,1967-12-13,"Plot 955, Kamaraj Colony",Kolkata,West Bengal,700002
12565,Ishaan Natarajan,6525432635,292636903680,UMTJA6117G,1981-10-14,"710, Gandhi Path, Subhash Area",Hubli,Karnataka,580031
12566,Nilesh Thakkar,6346117386,555631559304,CNCAM6694Q,1965-07-07,"No. 948, Vivekananda Cross",Gurugram,Haryana,122006
12567,Ratan Parikh,7147914394,457751382444,YQGUI7176N,1993-04-22,"Door No. 292, Gandhi Road",Dehradun,Uttarakhand,248008
12568,Lata Mishra,7055942141,267943320310,USKIV1019J,1974-12-02,"286, Azad Road, Tagore Area",Jaipur,Rajasthan,302005
12569,Subhas Rao,7535816192,236584107528,QTVQU7484V,1979-10-03,"House No. 723, Tilak Colony",Mysuru,Karnataka,570012
12570,Sumitha Iyer,7715492765,360350086974,HDLES2296K,1984-01-04,"Flat 18Q, Tagore Apartment",Pune,Maharashtra,411045
12571,Ananya Ansari,7107149182,586042019006,ZUIXM7238M,1967-11-16,"Flat 9H, Patel Residency",Howrah,West Bengal,711103
12572,Kiran D'Souza,7385213291,266994759377,QJEJK1068I,2003-04-09,"692/6, Sardar Path",Warangal,Telangana,506001
12573,Sanjay Bansal,6058683082,801555015538,YFXQH3894M,1996-05-18,"722, Ambedkar Path, Gopal Area",Patna,Bihar,800004
12574,Vijay Sharma,6868726419,619743627121,GMHPC6145S,1985-07-24,"H.No. 872, MG Road",Aurangabad,Maharashtra,431005
12575,Sai Ahmed,8119766496,911961400456,NCLHF3963Q,1978-06-16,"H.No. 291, Kamaraj Nagar",Bhopal,Madhya Pradesh,462003
12576,Arjun Khan,6417625632,219019094596,MJDUK1953T,1999-07-31,"Flat 5W, Mohan Enclave",Howrah,West Bengal,711105
12577,Seema Verma,9178535633,298002650180,QQBRO9796N,1979-09-05,"Door No. 821, Tilak Cross",Shimla,Himachal Pradesh,171006
12578,Vihaan Roy,7863900036,847468212279,SLISB4095U,1980-12-20,"S.No. 282, JP Avenue",Vadodara,Gujarat,390006
12579,Rajesh Rodrigues,8613333657,810405871513,ODHNO7488I,1989-03-16,"Door No. 406, Shyam Enclave, Netaji Marg",Ludhiana,Punjab,141001
12580,Seema Ghosh,8832254538,206946667040,ZULTN4581N,1990-11-17,"Door No. 94, Mohan Nagar",Vijayawada,Andhra Pradesh,520005
12581,Lalit Chauhan,7286698826,630237217127,GKMEG1271V,1971-08-04,"295, Azad Lane, Rajiv Area",Thiruvananthapuram,Kerala,695006
12582,Kamlesh Rajput,8890242395,489669995581,FHYFS8434B,1981-04-03,"253/18, Shivaji Path",Mangaluru,Karnataka,575004
12583,Anitha Gupta,8859131303,855997679106,XEAWH8097Y,2001-07-16,"704, Indira Avenue, Gopal Area",Warangal,Telangana,506004
12584,Biswajit Bhattacharya,8886039790,845466096484,VZTZJ4870W,1965-03-27,"S.No. 324, MG Colony",Ludhiana,Punjab,141008
12585,Pradip Pinto,8786481073,986386910057,PYOWT0787H,2002-05-26,"787, Azad Layout, Tilak Area",Howrah,West Bengal,711104
12586,Rajan Kapadia,7397831115,223818446753,FUHBC1634S,1996-05-25,"Plot 457, Shyam Street",Ludhiana,Punjab,141002
12587,Sanjay Paul,6413378014,555509544549,PDZPK7562T,1978-01-24,"Flat 13N, JP Complex",Patna,Bihar,800003
12588,Meenakshi Pinto,6325941405,959955965131,ENXYV7023G,1995-05-12,"426/12, Netaji Path",Nagpur,Maharashtra,440010
12589,Subramaniam Parikh,8941518122,429095750227,TBUUU6024H,1975-08-07,"Plot 451, Patel Avenue",Vijayawada,Andhra Pradesh,520004
12590,Kamakshi Bhatt,8423272970,478649133161,THYSW9449K,1989-09-18,"860/9, Vallabh Lane",Vijayawada,Andhra Pradesh,520005
12591,Kiran Gomes,6864145373,568602040251,GZMPJ2546D,1983-04-30,"No. 988, Periyar Road",Bengaluru,Karnataka,560002
12592,Kavitha Yadav,9291960614,694822027754,GCAPX3312D,1996-04-16,"Flat 972, Shivaji Heights, Azad Layout",Surat,Gujarat,395008
12593,Hetal Tripathi,9310301033,903515579536,GDBFM0793S,2000-04-27,"No. 895, Bose Marg",New Delhi,Delhi,110007
12594,Elina Bose,7746438036,923007915460,KAIYZ7481A,1998-07-27,"Flat 2V, Patel Bhavan",Patna,Bihar,800009
12595,Venkatesh Sanghavi,9528075420,342969988579,ZWFRF1582T,1970-02-28,"Door No. 841, Bose Residency, Vivekananda Lane",Rajkot,Gujarat,360001
12596,Reyansh Agarwal,6538829723,811857779512,ZHCXZ6529V,1975-12-28,"Flat 9X, JP Enclave",Delhi,Delhi,110031
12597,Venkatesh Balasubramanian,7341687028,316750220992,GKMKW2129X,1990-12-05,"House No. 552, Saraswati Colony",Varanasi,Uttar Pradesh,221002
12598,Sai Mandal,7058107693,336029196161,NMEMD6665C,1963-06-07,"337, EVR Marg, Nehru Area",Thiruvananthapuram,Kerala,695006
12599,Ramesh Chatterjee,9316409755,834000340948,YHTPT6255O,1988-12-11,"Flat 3C, Netaji Niwas",Madurai,Tamil Nadu,625002
12600,Anitha Rao,8321151302,946649989595,KNJGH5440E,1970-02-26,"Flat 11G, Rajiv Towers",Mumbai,Maharashtra,400003
12601,Debarati Verma,8369857043,223854514818,VCLSD9170U,1962-11-22,"No. 58, Periyar Colony",Chandigarh,Punjab,160001
12602,Krishnamurthy Tiwari,7538397469,796237558220,HHJOA1206A,1993-01-29,"931/15, Tagore Marg",Ranchi,Jharkhand,834003
12603,Lakshmi Mandal,8937077442,284444037103,UOQQL0750G,1992-06-08,"Plot 885, Sardar Residency, Periyar Lane",Coimbatore,Tamil Nadu,641011
12604,Binita Mukherjee,7708106439,795123662374,BAKQI3483R,2001-05-09,"No. 815, Netaji Street",Raipur,Chhattisgarh,492009
12605,Rajesh Thakkar,7182239951,483531855775,BTILN6175G,1992-03-02,"No. 509, Rajiv Colony",Thiruvananthapuram,Kerala,695006
12606,Debarati Hussain,7809479342,251778526373,BFIXE1049F,2005-07-01,"792/4, Gandhi Layout",Surat,Gujarat,395002
12607,Meena Sengupta,7992016014,243044576232,FXKTP4970Y,1964-03-24,"Door No. 63, Bose Heights, Rajiv Lane",Ludhiana,Punjab,141005
12608,Malathi Ahmed,6553741030,313599227159,ISPUT3662F,1986-07-29,"House No. 235, Gandhi Nagar",Nagpur,Maharashtra,440017
12609,Jalpa Goel,7450259129,938445149318,NILKU9940Z,1975-11-01,"Flat 10L, Tagore Bhavan",Jaipur,Rajasthan,302005
12610,Vijay Chakraborty,6588296118,702177030544,UQHKX1313K,1983-04-03,"980/1, Tagore Marg",Hubli,Karnataka,580003
12611,Chinglen Natarajan,9622456878,305404789439,EEWDI8958A,1979-07-11,"897, Anna Path, JP Area",Visakhapatnam,Andhra Pradesh,530003
12612,Foram D'Souza,6091176263,989200109194,AUTTK8326F,2004-05-21,"645, Azad Marg, Laxmi Area",Coimbatore,Tamil Nadu,641003
12613,Subhas Ansari,9804810905,854636419966,QHJQS4671P,2003-01-17,"Flat 8I, Nehru Complex",Mumbai,Maharashtra,400002
12614,Harish Shah,6238719727,897678412315,JBZRF9324V,1963-08-30,"H.No. 278, Bose Apartment, EVR Road",Vadodara,Gujarat,390005
12615,Lata Ganguly,7119213309,390677468039,AQJXD2665V,1987-06-13,"H.No. 150, EVR Residency, Shyam Path",Guwahati,Assam,781001
12616,Revathi Das,6595769625,866304966180,FDAJS3303W,2001-01-15,"Flat 771, Gandhi Bhavan, Laxmi Cross",Chandigarh,Punjab,160005
12617,Ganpat Pinto,9646113298,533616790071,XTMSV0191Q,1978-01-24,"No. 848, Tilak Cross",Vadodara,Gujarat,390003
12618,Sneha Sengupta,9931103100,467993570176,ZFXPY0585B,1993-12-11,"S.No. 825, Bhagat Apartment, JP Marg",Pune,Maharashtra,411002
12619,Kamakshi Tripathi,6596254490,980158848014,BAPXD9042B,1993-03-16,"110/11, Saraswati Lane",Kozhikode,Kerala,673001
12620,Venkatesh Sengupta,8776463772,474517763049,GZICG1224G,1979-06-25,"House No. 644, Sardar Cross",Agra,Uttar Pradesh,282005
12621,Biren Sanghavi,7377318093,528138403836,HJBLV6978Z,2001-03-21,"S.No. 841, JP Path",Jodhpur,Rajasthan,342011
12622,Indrajit Ganguly,6100995850,315322760348,HZNTB8217L,2003-01-17,"506, Gopal Nagar, JP Area",Aurangabad,Maharashtra,431002
12623,Reyansh Tiwari,8466807978,625539611684,VLSBA4876Q,2004-10-18,"Flat 16G, Vivekananda Complex",Jaipur,Rajasthan,302002
12624,Harish Tiwari,6995833053,393717599271,SXLUP2193N,1992-04-03,"Flat 15X, Sardar Bhavan",Bhubaneswar,Odisha,751005
12625,Biren Ali,6419446644,737075221850,OTAJJ0129Z,1995-10-15,"Plot 620, Bhagat Cross",Imphal,Manipur,795001
12626,Debarati Roy,7906767270,821987161020,BSQVR3078T,1975-05-11,"House No. 81, Indira Bhavan, Vivekananda Road",Mysuru,Karnataka,570010
12627,Geeta Rajput,9470590856,617504658475,CYDDX9650P,1988-08-10,"417/12, Subhash Avenue",Raipur,Chhattisgarh,492008
12628,Manish Yadav,9002855823,438516019033,DMXLV7420N,1978-10-29,"# 33, Patel Residency, MG Layout",Jaipur,Rajasthan,302003
12629,Ratan Balasubramanian,6873612612,839833504936,MMFTP3811B,1993-08-08,"121, Bose Layout, Shivaji Area",Howrah,West Bengal,711101
12630,Deben Ali,9299284250,963971910338,OOAPN9690E,1986-01-17,"Flat 8T, Shivaji Towers",Jammu,Jammu and Kashmir,180007
12631,Jayesh Mukherjee,8627988779,291824906765,FUFGA5963F,1987-01-05,"H.No. 765, JP Path",Jammu,Jammu and Kashmir,180007
12632,Malathi Nair,9148152138,222517509422,CZAXM7230B,1993-11-12,"Flat 1K, Periyar Niwas",Delhi,Delhi,110032
12633,Chandana Qureshi,6554960155,470588743335,RIYOY5233Z,1983-03-01,"866, Ram Street, Rajiv Area",Delhi,Delhi,110034
12634,Amit Rajan,6561152727,938202640765,ZIOAQ9358F,1960-10-16,"7/7, Vallabh Nagar",Agartala,Tripura,799001
12635,Dinesh Reddy,8575514203,583379084609,SVSTL8762K,2004-03-28,"Plot 84, JP Lane",Imphal,Manipur,795004
12636,Gourab Shukla,9118129871,894555481244,GEWRZ6765P,2000-07-06,"Plot 412, Ram Towers, Anna Nagar",Indore,Madhya Pradesh,452006
12637,Fanai Singh,8214510097,552000633388,MAVBM5072D,1993-08-13,"Plot 382, Kamaraj Vihar, Rajiv Street",Panaji,Goa,403001
12638,Sneha Mitra,8195474684,933750987104,DRFET7464W,1973-07-03,"229/6, Laxmi Cross",Nashik,Maharashtra,422011
12639,Sanjay Kothari,9224601930,647094522536,VRSMV2575G,1961-11-25,"Door No. 303, Gopal Apartment, Tagore Colony",Raipur,Chhattisgarh,492002
12640,Kavitha Pereira,7927863211,713393983437,NVSYI4957Z,1986-07-15,"Plot 831, Saraswati Layout",Vijayawada,Andhra Pradesh,520002
12641,Savita Dey,9307210269,650675505768,VGGFH4561F,1973-09-17,"345, Ram Road, Vivekananda Area",Lucknow,Uttar Pradesh,226007
12642,Biren Paul,7677539393,203446479114,VERGQ0704M,1969-08-13,"302, JP Cross, Patel Area",Thiruvananthapuram,Kerala,695003
12643,Revathi Yadav,8223296234,291046238850,JWPGA8792M,1977-06-10,"245, EVR Marg, Gandhi Area",Lucknow,Uttar Pradesh,226010
12644,Subramaniam Dasgupta,8991136966,460933317361,VEMNG4079P,1972-07-27,"585/19, Periyar Path",Ranchi,Jharkhand,834003
12645,Geeta Sanghavi,8675430053,885451297724,NBWIO3221G,1975-09-02,"Flat 19C, Nehru Complex",Bhubaneswar,Odisha,751002
12646,Diya Shah,9586534693,489828136833,RVDNN4826C,2002-06-30,"Flat 3X, Gandhi Residency",Chennai,Tamil Nadu,600040
12647,Saraswathi Biswas,8966243244,796776161503,UDXSS8427M,2001-07-07,"No. 389, Anna Cross",Faridabad,Haryana,121002
12648,Nilesh Das,6709160444,946108280810,DPRSP1372V,1973-01-08,"Flat 5B, Laxmi Complex",Mumbai,Maharashtra,400001
12649,Anindita Chauhan,7243936364,969270604256,ZEHML9482Y,1986-09-27,"48, Subhash Colony, Sardar Area",Surat,Gujarat,395006
12650,Rahul Dubey,6194289782,838152288204,QMKND4827L,1985-01-21,"638, Rajiv Nagar, Ambedkar Area",Bengaluru,Karnataka,560001
12651,Ayaan Mitra,9813716097,505114960783,KBNPO4770D,1973-03-26,"House No. 365, Kamaraj Path",Warangal,Telangana,506003
12652,Subhas Balasubramanian,8566739419,970312727106,ZPITO1895A,1967-12-18,"S.No. 584, Ram Vihar, Ambedkar Marg",Nagpur,Maharashtra,440001
12653,Deben Krishnan,6159576721,211962065098,WWCEV5723B,1989-12-23,"Flat 14J, JP Residency",Surat,Gujarat,395004
12654,Meena Srivastava,9306274329,420145364512,TIFSH8626D,1972-01-29,"Flat 13J, Nehru Complex",Rajkot,Gujarat,360004
12655,Girish Verma,6104647202,279559149873,EUWWT1873B,1962-03-28,"860/2, Sardar Layout",Guwahati,Assam,781001
12656,Girish Murugan,9056806640,221864236455,KXWGE3990N,1979-12-22,"Plot 96, Patel Complex, Ram Path",Nagpur,Maharashtra,440013
12657,Indrajit Goel,8610369162,950865062985,QPFDU7939A,1972-02-03,"Flat 10S, Bhagat Vihar",Ludhiana,Punjab,141002
